Nombre de la Institución o Empresa,Sector,Entidad Federativa
EQUIPOS DE ACUÑA S.A DE C.V,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,COAHUILA
EMIFARMA SA DE CV,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",ESTADO DE MEXICO
CORPORATIVO LOOL MAYA SPR DE RL,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,QUINTANA ROO
"AITELECOM, S.A. DE C.V.",INFORMACION EN MEDIOS MASIVOS,YUCATAN
"ACADEMIA DE ESTUDIOS FISCALES DE LA CONTADURIA PUBLICA, A.C.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
ACERLAM DEL SURESTE SA DE CV,COMERCIO AL POR MAYOR,YUCATAN
GOBIERNO DEL ESTADO DE HIDALGO / SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA DEL ESTADO DE HIDALGO,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,HIDALGO
GRUPO MEXMEDIA SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,QUINTANA ROO
"""THE INDEPENDENT BREWING CO"" SA DE CV","INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",QUINTANA ROO
STARCOM SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,QUINTANA ROO
"SERVICIO INTEGRAL A LA AGROINDUSTRIA, S.A DE C.V.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,QUERETARO
MAS PROVEEDURIA S.A. DE C.V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,GUANAJUATO
WIRELESS CONSULTING SERVICES SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,COAHUILA
"METALES Y MANUFACTURAS ESPECIALES, S.A. DE C.V.",INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,COAHUILA
INNOSYSTECH SA DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,MICHOACAN 
FCDIGITAL MÉXICO S.A DE C.V,COMERCIO AL POR MAYOR,MORELOS
FACET SCHOOL MEXICO SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,HIDALGO
EVIRO GREEN MAGRO S. DE R. L. DE C. V.,OTROS SERVICIOS EXCEPTO ACTIVIDADES DEL GOBIERNO,HIDALGO
PERFICOM SA DE CV,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",QUERETARO
NUTRIMENTOS MAGNUM S.A. DE C.V.,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",GUANAJUATO
MAKERMEX SA DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,GUANAJUATO
GOBIERNO DEL ESTADO DE OAXACA / CONSEJO OAXAQUEÑO DE CIENCIA Y TECNOLOGIA,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,OAXACA
UNIVERSIDAD DE OCCIDENTE,SERVICIOS EDUCATIVOS,SINALOA
GOBIERNO DEL ESTADO DE CAMPECHE / CONSEJO ESTATAL DE INVESTIGACION CIENTIFICA Y DESARROLLO TECNOLOGICO DE CAMPECHE,ACTIVIDADES DEL GOBIERNO Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES,CAMPECHE
"ASOCIACION DE PRODUCTORES DE FLORES Y FOLLAJES TROPICALES, S. DE R.L. DE C.V.",AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,TABASCO
"FUNDACION MEXICANA PARA LA SALUD, A.C.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
"PETROQUIMICA MEXICANA DE VINILO, SA DE CV","INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",VERACRUZ
TAURIDAS S.A. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,SINALOA
INDUSTRIA DE ALIMENTOS NUTRIWELL S.A. DE C.V.,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",DISTRITO FEDERAL
ALGORITMOS Y METODOS APLICADOS SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,NUEVO LEON 
ALIMENTOS NATURALES DE AXOCOPAN SA DE CV,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,PUEBLA
"PAPELES Y CONVERSIONES DE MÉXICO, S.A. DE C.V.","INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",NUEVO LEON 
INNOBIUS S.C.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,GUANAJUATO
SISTEMAS DE ECOLOGIA SOLAR SA DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,JALISCO
REMA SOLUTIONS SA DE CV,COMERCIO AL POR MAYOR,ESTADO DE MEXICO
CONSULTORIA EN NEGOCIOS SUSTENTABLES S.C.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
AGROINTER SA DE CV,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,SINALOA
COMPETITIVIDAD DIGITAL S.A. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,PUEBLA
"FUN HEALTH PROMOCIONES E INNOVACIONES, SA DE CV","INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",NUEVO LEON 
METLIFE MEXICO S.A.,SERVICIOS FINANCIEROS Y DE SEGUROS,DISTRITO FEDERAL
CENTRO HOLISTICO AKALKI S. DE R.L,SERVICIOS DE ALOJAMIENTO TEMPORAL Y DE PREPARACION DE ALIMENTOS Y BEBIDAS,QUINTANA ROO
CONSTRUSUAN SA DE CV,CONSTRUCCION,YUCATAN
MAALO CHE SPR DE RL DE CV,SERVICIOS DE ESPARCIMIENTO CULTURALES Y DEPORTIVOS Y OTROS SERVICIOS RECREATIVOS,QUINTANA ROO
"EMBSOFT, SA DE CV",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,YUCATAN
APICULTURA BALDERRAMA Y ASOCIADOS SA DE CV,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,CAMPECHE
RYM SOLUTIONS S DE RL DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,QUERETARO
GLOCAL JOINT S. DE R.L. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,JALISCO
MAQUITO SA DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,JALISCO
ASOCIACION DE PRODUCTORES DE HONGOS SETAS FLORALVA S. DE P.R. DE R.L.,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,PUEBLA
"LABORATORIOS FYCSA, S DE RL DE MI","INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",NAYARIT
CONSULTORIA E INNOVACION GLOBAL S DE RL DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,QUINTANA ROO
ARTIC CORD S. DE R.L. DE C.V.,INFORMACION EN MEDIOS MASIVOS,MORELOS
FABRE CONSULTORES Y DESARROLLO EMPRESARIAL S.C.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,CHIAPAS
ORBY ROTOMOLDEO SA DE CV,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",QUERETARO
SOLA AMBIENTAL S.A DE C.V.,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",DISTRITO FEDERAL
AGROINDUSTRIA ALTERNATIVA DEL SURESTE S.P.R. DE R.L. DE C.V.,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,YUCATAN
CONSULTORES ASOCIADOS EN PRODUCCION PECUARIA S.A. DE C.V. SOFOM ENR,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,CHIAPAS
CURTEC SA DE CV,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",GUANAJUATO
ESCUCHO LATINOAMERICA S.A DE C.V,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,JALISCO
"MASSIVE DINAMICS, S.A. DE C.V.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,YUCATAN
IT SOLUTIONS GLOBAL INCORPORATED S DE RL,SERVICIOS FINANCIEROS Y DE SEGUROS,PUEBLA
"CAPACITORES Y ELECTROSISTEMAS INDUSTRIALES, S.A. DE C.V.",INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,JALISCO
HEMOST SA DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,PUEBLA
GARZA ALIMENTOS S.A. DE C.V.,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",DURANGO
CONSTRUCTORA E INMOBILIARIA ROMASE S.A. DE C.V.,ELECTRICIDAD AGUA Y SUMINISTRO DE GAS POR DUCTOS AL CONSUMIDOR FINAL,PUEBLA
GOBIERNO DEL ESTADO DE MEXICO / COLEGIO DE EDUCACIÓN PROFESIONAL TÉCNICA DEL ESTADO DE MÉXICO (CONALEP ESTADO DE MÉXICO),SERVICIOS EDUCATIVOS,ESTADO DE MEXICO
MET PAC SA DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,SONORA
BEUTELSPACHER SA DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,DISTRITO FEDERAL
TRENNTUS S.A. DE C.V.,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",DISTRITO FEDERAL
"TROQUELES, HERRAMENTALES Y REPRESENTACIONES SA DE CV",INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,ESTADO DE MEXICO
EVE TECHNOLOGIES SAPI DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,JALISCO
CORPORACION ACAT SA DE CV,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,ZACATECAS
T.F. VICTOR SA DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,ESTADO DE MEXICO
TECNOLÓGICO NACIONAL DE MÉXICO / INSTITUTO TECNOLOGICO DE LOS MOCHIS,SERVICIOS EDUCATIVOS,SINALOA
SISTEMAS TEK-ON SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,MICHOACAN 
BIOTONALLI S.A.P.I. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
INTERFAZ TECNOLOGIAS INFORMATICAS SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,TABASCO
GRUPO GALASO S.A. DE C.V.,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",CHIHUAHUA
URBACON SA DE CV,CONSTRUCCION,AGUASCALIENTES
FAGOR INDUSTRIAL MEXICO SA DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,SAN LUIS POTOSI
GOVERNMENT SOLUTIONS MEXICO SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
"CONSULTORÍA Y APLICACIONES AVANZADAS DE ECM, S.A. DE C.V.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
"ULTRA LABORATORIOS, S.A. DE C.V.","INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",JALISCO
CS TECH MEXICO S.A. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,BAJA CALIFORNIA
DESARROLLO INNOVADOR DE ALIMENTOS ESPECIALES SA DE CV,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",ESTADO DE MEXICO
FACTUM CONSULTORES SC,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
FACTOR INFORMATICO DE NEGOCIOS SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,SINALOA
DISTRIBUIDORA DE TORTILLAS DE TEPIC SA DE CV,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",NAYARIT
PLASTICOS E INYECTORES DE SALTILLO SA DE CV,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",COAHUILA
"WETLANDS DE MEXICO Y ASOCIADOS, SC",ELECTRICIDAD AGUA Y SUMINISTRO DE GAS POR DUCTOS AL CONSUMIDOR FINAL,OAXACA
"VETRO TEC DE MEXICO, S.A. DE C.V.","INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",CHIHUAHUA
REPINEL ELECTRIC SOLUTIONS AND AUTOMATION SYSTEMS S.A. DE C.V.,OTROS SERVICIOS EXCEPTO ACTIVIDADES DEL GOBIERNO,CHIHUAHUA
SIZES AND COLORS DE MEXICO S.A. DE C.V.,OTROS SERVICIOS EXCEPTO ACTIVIDADES DEL GOBIERNO,GUANAJUATO
C&T TECHNOLOGY S.A DE C.V,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",DISTRITO FEDERAL
"GAMABYTE STUDIO, S.A. DE C.V.",OTROS SERVICIOS EXCEPTO ACTIVIDADES DEL GOBIERNO,GUANAJUATO
"NANOLAB, SA DE CV",SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,DISTRITO FEDERAL
AYMA INGENIERIA Y CONSULTORIA S.A. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,JALISCO
"AKSYS DE MÉXICO, S.A. DE C.V.",INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,PUEBLA
"DECOME, S.A.DE C.V.",COMERCIO AL POR MENOR,YUCATAN
SERVICIOS LOGISTICOS Y OPERATIVOS DEL VALLE DE MEXICO SCL,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",DISTRITO FEDERAL
"CORPORACION EN INVESTIGACION TECNOLOGICA E INFORMATICA, SAPI DE CV",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,NUEVO LEON 
OBJECTSOFT DE MEXICO S.A. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
"BIOTECSA, S. A. DE C. V.","INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",ESTADO DE MEXICO
COMPOSTAMEX S.A. DE C.V.,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,JALISCO
REGIO METROLOGY SA DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,NUEVO LEON 
TECNOLOGÍAS RETHOS S DE RL DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,CHIHUAHUA
"INDUSTRIAL ZAPATERA J.R, S.A DE C.V","INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",GUANAJUATO
"GRUPO PROMOTOR ARIES, S.A. DE C.V.",CONSTRUCCION,DISTRITO FEDERAL
INSTITUTO TECNOLOGICO SUPERIOR DE COSAMALOAPAN,SERVICIOS EDUCATIVOS,VERACRUZ
NEW WORLD IMPORTERS S.A. DE C.V.,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",ESTADO DE MEXICO
RESORTES Y PARTES SA DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,JALISCO
REINTECH RECYCLED INNOVATION AND TECHNOLOGY S.A. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,VERACRUZ
TECNOLÓGICO NACIONAL DE MÉXICO / INSTITUTO TECNOLÓGICO DE COMITÁN,SERVICIOS EDUCATIVOS,CHIAPAS
GOBIERNO DEL ESTADO DE GUANAJUATO / INSTITUTO ESTATAL DE CAPACITACIÓN,SERVICIOS EDUCATIVOS,GUANAJUATO
LEAN TECH DESIGN INNOVATION CONSULTING SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,PUEBLA
KRONOS DTA SA DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,NUEVO LEON 
PRODUCTOS UROLOGOS DE MEXICO SA DE CV,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",BAJA CALIFORNIA
LABORATORIOS SANFER SA DE CV,COMERCIO AL POR MAYOR,DISTRITO FEDERAL
UNIVERSIDAD POLITECNICA DE LAZARO CARDENAS,SERVICIOS EDUCATIVOS,MICHOACAN 
MATIK INGENIERIA S.A. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,COAHUILA
DESARROLLOS PAC SIMI SA DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,COAHUILA
BETA PROCESOS SA DE CV,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",GUANAJUATO
UNIVERSIDAD POLITÉCNICA DE VICTORIA,SERVICIOS EDUCATIVOS,TAMAULIPAS
UNIVERSIDAD TECNOLÓGICA DE QUERÉTARO,SERVICIOS EDUCATIVOS,QUERETARO
UNIVERSIDAD TECNOLOGICA SANTA CATARINA,SERVICIOS EDUCATIVOS,NUEVO LEON 
INSTITUTO TECNOLOGICO SUPERIOR DE NUEVO CASAS GRANDES,SERVICIOS EDUCATIVOS,CHIHUAHUA
"UNIVERSIDAD POLITÉCNICA DE URUAPAN, MICHOACÁN",SERVICIOS EDUCATIVOS,MICHOACAN 
CONCEPTO MÓVIL S.A. DE C.V.,INFORMACION EN MEDIOS MASIVOS,DISTRITO FEDERAL
INDUSTRIAS DMU SA DE CV,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",AGUASCALIENTES
"GRUPO AGROPECUARIO ECOLOGISTA DE LA CIENEGA, S.P.R. DE R.L. DE C.V.","INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",JALISCO
GRUPO COMERCIAL LATINOS SA DE CV,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",GUANAJUATO
"INNOVA PAVIMENTOS DE MÉXICO, S.A. DE C.V.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,PUEBLA
ALTA TECNOLOGIA LABTRON SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,SAN LUIS POTOSI
"AGROALIMENTOS GYA, S. A. DE C. V.","INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",DISTRITO FEDERAL
ESTOY EN EL MAPA S.A. DE C.V.,COMERCIO AL POR MAYOR,DISTRITO FEDERAL
THOR QUÍMICOS DE MÉXICO SA DE CV,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",QUERETARO
"AVANGARD MÉXICO, S DE RL DE CV","INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",DISTRITO FEDERAL
CHILES Y SEMILLAS EL BUEN TEMPORAL S.A. DE C.V.,COMERCIO AL POR MAYOR,ZACATECAS
AVILA INTEGRADORES DE SOLUCIONES SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,NUEVO LEON 
HIGH ENERGY MILLING DE MEXICO S DE RL DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,ZACATECAS
FRUTAS Y FRUTOS MEXICANOS S.A. DE C.V.,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,DISTRITO FEDERAL
"MADERAS DECORATIVAS DE PUEBLA, S. A. DE C. V.","INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",PUEBLA
"PRODUCTORES DE CACAO LA CUEVA DEL TIGRE, S.C. DE R. L. DE C.V",AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,CHIAPAS
"IMMELMANN, S.A. DE C.V.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,BAJA CALIFORNIA
IDGREEN SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,QUERETARO
C.E.B.M Y ASOCIADOS S.C.P,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,YUCATAN
CIE CELAYA SAPI DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,GUANAJUATO
BLACKHAWK DE MEXICO SA DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,NUEVO LEON 
"BOMBAS KLASSEN, SA DE CV",INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,CHIHUAHUA
"CARETAS REV, S.A. DE C.V.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,MORELOS
PAGASA SA DE CV.,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",BAJA CALIFORNIA
PROCESOS ELECTROFORETICOS SA DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,COAHUILA
PLASTICOS DEGRADABLES SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
PROCESADORA SAN SEBASTIAN S.A. DE C.V.,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",GUANAJUATO
"FRANQUICIAS RUCH, SA DE CV",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,ESTADO DE MEXICO
AGUA Y AIRE S.A. DE C.V.,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",BAJA CALIFORNIA
INTEGRA AUTOMATION S. A. DE C. V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,SAN LUIS POTOSI
PROYECTOS OFTALMOLÓGICOS S.A. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,SINALOA
VIBLAS SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,PUEBLA
NOVATECLEON SA DE CV,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",GUANAJUATO
BIMOELECTRICO SA DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,ESTADO DE MEXICO
MOSAICOS VENECIANOS DE MEXICO SA DE CV,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",MORELOS
GESTION TECNOLOGICA AVANZADA SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
INTERMED SOLUTIONS SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
AGRI-PRODUCTOS INNOVA SA DE CV,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",SONORA
"TM DANNICK, S.A. DE C.V.","INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",ESTADO DE MEXICO
MANUFACTURAS GREEN DE MEXICO S DE RL DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,COAHUILA
AISLACOAT S. DE R.L MI,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",NUEVO LEON 
MATERIA3D S.A. DE C.V.,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",NUEVO LEON 
CALINOR S.A. DE C.V.,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",BAJA CALIFORNIA
LABORATORIOS BAJA MED SA DE CV,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",BAJA CALIFORNIA
"DECISION SUPPORT SOLUTIONS, S.A. DE C.V.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,PUEBLA
DIAMANTE INTEGRALES PARA LA CONSTRUCCION SA DE CV,MINERIA,VERACRUZ
ORCHESSTRA SOFTWARE SOLUTIONS S DE RL DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,NUEVO LEON 
SOLUCIONES MASIVAS SA DE CV,SERVICIOS FINANCIEROS Y DE SEGUROS,DISTRITO FEDERAL
IMPULSORA ESPECIALIZADA EN DESARROLLOS CARBONIFEROS SA DE CV,MINERIA,COAHUILA
PLENODESIGN SAPI DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,DISTRITO FEDERAL
GRUPO GAMME S. A. DE C. V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
DESCAFEINADORES MEXICANOS SA DE CV,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",VERACRUZ
OBLYX TECNOLOGIAS DE INFORMACION Y COMUNICACION S.A. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,OAXACA
DECOPLAS S.A. DE C.V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,ESTADO DE MEXICO
OPSICOME S.A. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,SINALOA
"LUSEME INGENIERIA, S.A. DE C.V.",INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,SINALOA
