,Unnamed: 0,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,duration_minutes
9879,9879,0.731,"['Powfu', 'beabadoobee']",0.726,173333,0.431,0,7eJMfftS33KTjuF7lTsMCx,0.0,8,0.696,-8.765,0,death bed (coffee for your head) (feat. beabadoobee),98,2020-02-08,0.135,144.026,0.348,2020,2.8888833333333332
9880,9880,0.0706,"['Future', 'Drake']",0.6759999999999999,237735,0.609,1,5yY9lUy8nbvjM1Uyo1Uqoc,0.0,2,0.152,-5.831,0,Life Is Good (feat. Drake),92,2020-01-10,0.481,142.037,0.508,2020,3.96225
9883,9883,0.0252,['Megan Thee Stallion'],0.843,155497,0.741,1,55CHeLEfn5iJ0IIkgaa4si,0.0,11,0.096,-5.609,1,Savage,92,2020-03-06,0.334,168.983,0.68,2020,2.5916166666666665
9887,9887,0.145,"['Eminem', 'Juice WRLD']",0.8079999999999999,210800,0.745,1,7FIWs0pqAYbP91WWM0vlTQ,0.0,10,0.292,-5.26,0,Godzilla (feat. Juice WRLD),91,2020-01-17,0.342,165.995,0.8290000000000001,2020,3.513333333333333
9892,9892,0.223,"['Ariana Grande', 'Justin Bieber']",0.597,228482,0.45,0,4HBZA5flZLE435QTztThqH,0.0,8,0.382,-6.658,1,Stuck with U (with Justin Bieber),92,2020-05-08,0.0418,178.765,0.537,2020,3.8080333333333334
9893,9893,0.00285,['The Weeknd'],0.667,237520,0.7190000000000001,1,7szuecWAPwGoV1e5vGu8tl,8.1e-05,7,0.0736,-5.371,0,In Your Eyes,92,2020-03-20,0.0346,100.021,0.7170000000000001,2020,3.958666666666667
9894,9894,0.127,['Doja Cat'],0.7070000000000001,134240,0.955,0,78qd8dvwea0Gosb6Fe6j3k,0.0,10,0.202,-4.593,0,Boss Bitch,93,2020-01-23,0.222,125.989,0.575,2020,2.2373333333333334
9895,9895,0.317,"['Justin Bieber', 'Quavo']",0.8109999999999999,212869,0.5529999999999999,0,364dI1bYnvamSnBJ8JcNzN,0.0,9,0.105,-6.644,1,Intentions,91,2020-02-07,0.0552,148.014,0.86,2020,3.547816666666667
9896,9896,0.0264,['6ix9ine'],0.611,132303,0.688,1,4NhDYoQTYCdWHTvlbGVgwo,0.0,1,0.251,-5.688,1,GOOBA,92,2020-05-08,0.341,178.46200000000005,0.393,2020,2.20505
9897,9897,0.021,['Bad Bunny'],0.86,172127,0.758,0,0SqqAgdovOE24BzxIClpjw,6.54e-05,11,0.344,-5.16,1,Yo Perreo Sola,93,2020-02-28,0.0695,97.014,0.453,2020,2.8687833333333335
9908,9908,0.0103,"['Bad Bunny', 'Jowell & Randy', 'Nengo Flow']",0.607,295177,0.8290000000000001,1,2DEZmgHKAvm41k4J3R2E9Y,0.0,2,0.107,-4.074,1,Safaera,93,2020-02-28,0.379,96.172,0.685,2020,4.919616666666666
9925,9925,0.0861,['Bad Bunny'],0.685,163084,0.848,1,6NfrH0ANGmgBXyxgV2PeXt,7.14e-06,8,0.0783,-4.561,0,La Difícil,91,2020-02-28,0.0858,179.87,0.7609999999999999,2020,2.7180666666666666
