Nombre de la Institución o Empresa,Sector,Entidad Federativa
CENTRO DE INVESTIGACION EN ALIMENTACION Y DESARROLLO AC,NO APLICA A PARTIR DE SEPTIEMBRE 2016,SONORA
"CENTRO DE INVESTIGACION EN QUIMICA APLICADA, A.C.",NO APLICA A PARTIR DE SEPTIEMBRE 2016,COAHUILA DE ZARAGOZA
CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE SC,NO APLICA A PARTIR DE SEPTIEMBRE 2016,BAJA CALIFORNIA SUR
INFOTEC CENTRO DE INVESTIGACION E INNOVACION EN TECNOLOGIAS DE LA INFORMACION Y COMUNICACION,NO APLICA A PARTIR DE SEPTIEMBRE 2016,CIUDAD DE MÉXICO
EL COLEGIO DE CHIHUAHUA,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,CHIHUAHUA
"INSTITUTO DE INVESTIGACION, INNOVACIÓN Y ESTUDIOS DE POSGRADO  PARA LA EDUCACIÓN DEL ESTADO DE NUEVO LEÓN",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,NUEVO LEÓN
"CIATEQ, A.C. CENTRO DE TECNOLOGIA AVANZADA (CIATEQ)",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,QUERÉTARO
EL COLEGIO DEL ESTADO DE HIDALGO,SERVICIOS EDUCATIVOS,HIDALGO
UNIDAD GUADALAJARA,SERVICIOS EDUCATIVOS,JALISCO
CORPORACION MEXICANA DE INVESTIGACION EN MATERIALES SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,COAHUILA DE ZARAGOZA
"EL COLEGIO DE PUEBLA, A.C.",SERVICIOS EDUCATIVOS,PUEBLA
EL COLEGIO DE SAN LUIS AC,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,SAN LUIS POTOSÍ
"HOSPITAL CENTRAL ""IGNACIO MORONES PRIETO""",SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,SAN LUIS POTOSÍ
CENTRO DE INVESTIGACIONES EN OPTICA AC,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,GUANAJUATO
